epoch,train_loss,val_acc,lr,precision_bench,precision_sit_ups,precision_squat,recall_bench,recall_sit_ups,recall_squat,f1_bench,f1_sit_ups,f1_squat
1,0.821340,0.771160,0.001,0.873016,0.685714,0.761671,0.691824,0.507042,0.919881,0.771930,0.582996,0.833333
2,0.508868,0.858934,0.001,0.828402,0.732919,0.941558,0.880503,0.830986,0.860534,0.853659,0.778878,0.899225
3,0.372817,0.880878,0.001,0.828402,0.868852,0.910663,0.880503,0.746479,0.937685,0.853659,0.803030,0.923977
4,0.339591,0.899687,0.001,0.922535,0.850000,0.910112,0.823899,0.838028,0.961424,0.870432,0.843972,0.935065
5,0.280937,0.909091,0.001,0.910959,0.856164,0.930636,0.836478,0.880282,0.955490,0.872131,0.868056,0.942899
6,0.270707,0.907524,0.001,0.843023,0.866197,0.959877,0.911950,0.866197,0.922849,0.876133,0.866197,0.940998
7,0.243268,0.916928,0.001,0.931034,0.826923,0.952522,0.849057,0.908451,0.952522,0.888158,0.865772,0.952522
8,0.246709,0.891850,0.001,0.910959,0.906780,0.879679,0.836478,0.753521,0.976261,0.872131,0.823077,0.925457
9,0.261168,0.904389,0.001,0.934783,0.878788,0.902174,0.811321,0.816901,0.985163,0.868687,0.846715,0.941844
10,0.247279,0.940439,0.001,0.951724,0.892617,0.956395,0.867925,0.936620,0.976261,0.907895,0.914089,0.966226
11,0.201933,0.932602,0.001,0.933333,0.917910,0.937853,0.880503,0.866197,0.985163,0.906149,0.891304,0.960926
12,0.198479,0.918495,0.001,0.916667,0.884354,0.933718,0.830189,0.915493,0.961424,0.871287,0.899654,0.947368
13,0.209421,0.923197,0.0005,0.859649,0.895105,0.969136,0.924528,0.901408,0.931751,0.890909,0.898246,0.950076
14,0.175907,0.954545,0.0005,0.935897,0.950000,0.964912,0.918239,0.936620,0.979228,0.926984,0.943262,0.972018
15,0.150255,0.957680,0.0005,0.948052,0.937931,0.970501,0.918239,0.957746,0.976261,0.932907,0.947735,0.973373
16,0.150149,0.954545,0.0005,0.959459,0.925676,0.964912,0.893082,0.964789,0.979228,0.925081,0.944828,0.972018
17,0.123531,0.956113,0.0005,0.960000,0.931034,0.965015,0.905660,0.950704,0.982196,0.932039,0.940767,0.973529
18,0.104797,0.956113,0.00025,0.979021,0.926174,0.959538,0.880503,0.971831,0.985163,0.927152,0.948454,0.972182
19,0.095420,0.960815,0.00025,0.979310,0.926667,0.967930,0.893082,0.978873,0.985163,0.934211,0.952055,0.976471
20,0.102087,0.963950,0.00025,0.973154,0.932432,0.973607,0.911950,0.971831,0.985163,0.941558,0.951724,0.979351
21,0.093431,0.965517,0.00025,0.979730,0.932432,0.973684,0.911950,0.971831,0.988131,0.944625,0.951724,0.980854
22,0.083950,0.968652,0.00025,0.979730,0.939597,0.976540,0.911950,0.985915,0.988131,0.944625,0.962199,0.982301
23,0.080599,0.967085,0.00025,0.967105,0.939189,0.979290,0.924528,0.978873,0.982196,0.945338,0.958621,0.980741
24,0.086613,0.963950,0.00025,0.948052,0.939597,0.982090,0.918239,0.985915,0.976261,0.932907,0.962199,0.979167
25,0.074328,0.963950,0.000125,0.936709,0.940000,0.987879,0.930818,0.992958,0.967359,0.933754,0.965753,0.977511
26,0.066286,0.970219,0.000125,0.993007,0.946309,0.971098,0.893082,0.992958,0.997033,0.940397,0.969072,0.983895
27,0.061401,0.971787,0.000125,0.993103,0.940000,0.976676,0.905660,0.992958,0.994065,0.947368,0.965753,0.985294
28,0.060503,0.974922,0.000125,0.993151,0.946309,0.979592,0.911950,0.992958,0.997033,0.950820,0.969072,0.988235
29,0.060951,0.973354,0.000125,0.993151,0.946309,0.976676,0.911950,0.992958,0.994065,0.950820,0.969072,0.985294
30,0.055927,0.974922,0.000125,0.980000,0.959184,0.979472,0.924528,0.992958,0.991098,0.951456,0.975779,0.985251
31,0.059425,0.978056,0.000125,0.993243,0.965753,0.976744,0.924528,0.992958,0.997033,0.957655,0.979167,0.986784
32,0.055689,0.973354,0.000125,0.979866,0.952703,0.979472,0.918239,0.992958,0.991098,0.948052,0.972414,0.985251
33,0.051774,0.974922,0.000125,0.980000,0.965753,0.976608,0.924528,0.992958,0.991098,0.951456,0.979167,0.983800
34,0.052018,0.978056,6.25e-05,0.986577,0.972414,0.976744,0.924528,0.992958,0.997033,0.954545,0.982578,0.986784
35,0.050556,0.976489,6.25e-05,0.986577,0.965753,0.976676,0.924528,0.992958,0.994065,0.954545,0.979167,0.985294
36,0.051551,0.981191,6.25e-05,0.980392,0.972414,0.985294,0.943396,0.992958,0.994065,0.961538,0.982578,0.989660
37,0.051956,0.979624,6.25e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
38,0.048599,0.979624,6.25e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
39,0.046740,0.978056,3.125e-05,0.980263,0.972222,0.979532,0.937107,0.985915,0.994065,0.958199,0.979021,0.986745
40,0.046819,0.979624,3.125e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
41,0.044636,0.979624,3.125e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
42,0.045499,0.981191,1.5625e-05,0.980519,0.979021,0.982405,0.949686,0.985915,0.994065,0.964856,0.982456,0.988201
43,0.044101,0.979624,1.5625e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
44,0.044535,0.979624,1.5625e-05,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
45,0.043713,0.979624,7.8125e-06,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
46,0.042605,0.979624,7.8125e-06,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
47,0.043455,0.979624,7.8125e-06,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
48,0.043389,0.979624,3.90625e-06,0.980392,0.979021,0.979532,0.943396,0.985915,0.994065,0.961538,0.982456,0.986745
49,0.046133,0.981191,3.90625e-06,0.986842,0.979021,0.979592,0.943396,0.985915,0.997033,0.964630,0.982456,0.988235
50,0.042170,0.981191,3.90625e-06,0.986842,0.979021,0.979592,0.943396,0.985915,0.997033,0.964630,0.982456,0.988235
